domain,"in_TI_URLhaus"
"42.228.45.82:60798",true
"ne.h73n.ru",true
"rk1.6b96.ru",true
"115.56.158.41:42189",true
"112.242.149.241:43386",true
"221.14.175.254:42415",true
"doxxingservices.shop",true
"37.27.179.42",true
"tehrancraftst.ir",true
"st.h73n.ru",true
"a2.6b96.ru",true
"fl.h73n.ru",true
"182.116.118.161:38116",true
"t.6b96.ru",true
"172.86.92.103",true
"158.94.209.95",true
"101.37.14.54:8000",true
"14.236.242.134",true
"116.110.178.156",true
"120.157.231.87:86",true
"120.157.231.87:85",true
"91.80.141.20",true
"36.154.188.50:37780",true
"41.222.9.53:30244",true
"221.124.94.188:26223",true
"195.74.242.198:1807",true
"195.181.85.39:22322",true
"120.136.26.201:61566",true
"222.241.59.154:20548",true
"167.179.45.176:54743",true
"121.121.198.198:8019",true
"83.224.155.67",true
"94.44.159.84:8080",true
"92.40.119.14:8001",true
"77.189.220.254:8080",true
"180.115.161.177:9300",true
"115.50.81.233:33590",true
"61.163.198.180:42290",true
"rm.h73n.ru",true
"112.229.96.235:54088",true
"222.137.199.251:60305",true
"221.15.94.190:34246",true
"42.237.19.24:56371",true
"78.165.246.104:34352",true
"42.6.35.205:43383",true
"116.140.161.32:35586",true
"39.74.107.224:50321",true
"115.57.195.38:47532",true
"217.24.176.168:55959",true
"115.55.238.63:39985",true
"123.188.70.222:38958",true
"xq7.1v47.ru",true
"iu.g69p.ru",true
"182.117.76.65:54976",true
"27.223.224.214:33740",true
"m9.1v47.ru",true
"z.g69p.ru",true
"117.205.80.151:36961",true
"115.61.114.189:46893",true
"42.231.111.243:33804",true
"115.50.36.71:59701",true
"115.57.167.51:50566",true
"27.215.52.100:42127",true
"115.58.172.29:40120",true
"115.48.162.226:58941",true
"158.94.208.102",true
"211.158.209.40:48483",true
"196.189.97.114:38208",true
"115.56.188.63:33437",true
"125.43.92.137:40060",true
"143.110.237.32:8000",true
"113.45.225.29:5003",true
"142.93.160.249:4444",true
"158.94.208.47",true
"221.0.56.71:34047",true
"182.118.246.49:42090",true
"219.157.134.53:45422",true
"138.204.196.136:49719",true
"115.56.188.56:53776",true
"42.58.19.136:58520",true
"175.149.152.112:34652",true
"125.43.26.68:51740",true
"182.126.115.88:37701",true
"119.189.154.48:38519",true
"60.18.70.212:52269",true
"222.142.245.203:36111",true
"119.187.233.140:59914",true
"182.117.107.108:54551",true
"59.96.143.160:58207",true
"182.127.125.174:59251",true
"42.225.82.182:43074",true
"123.4.149.74:57636",true
"196.251.116.151",true
"162.221.222.179:54460",true
"191.241.143.73:35077",true
"182.126.85.234:54704",true
"113.239.221.5:44440",true
"42.235.77.213:40069",true
"199.16.59.198:59103",true
"219.156.131.103:54456",true
"163.142.95.211:34390",true
"115.57.196.203:45979",true
"27.215.213.185:59729",true
"85.105.76.45:48168",true
"219.157.174.31:51517",true
"200.59.83.86:51835",true
"200.59.88.231:54865",true
"151.243.109.39",true
"188.114.199.203:46895",true
"123.14.253.234:32993",true
"62.211.140.58:47559",true
"59.97.255.102:33687",true
"61.53.123.17:52980",true
"59.182.240.193:46117",true
"wg.f42s.ru",true
"u1.333-f.ru",true
"182.127.113.204:47982",true
"hp.f42s.ru",true
"115.51.5.187:40982",true
"42.53.62.107:53711",true
"219.156.23.146:37134",true
"36.70.231.114:40651",true
"y.333-f.ru",true
"tb.f42s.ru",true
"221.15.192.44:54428",true
"117.215.62.221:55161",true
"42.6.184.95:43895",true
"oj.f05t.ru",true
"wz8.212-q.ru",true
"59.97.177.156:54968",true
"182.126.94.184:45377",true
"123.5.172.196:34571",true
"42.55.17.182:53819",true
"119.114.169.138:60166",true
"42.230.37.25:59776",true
"42.231.42.114:41611",true
"91.92.240.104",true
"91.92.240.220",true
"pensive-brown.91-92-240-220.plesk.page",true
"178.16.55.189",true
"158.94.208.190",true
"175.148.92.82:53545",true
"p0.212-q.ru",true
"bg.f05t.ru",true
"160.191.243.178",true
"42.6.51.8:58295",true
"85.12.229.54:50345",true
"219.157.21.213:54796",true
"42.234.246.198:49951",true
"123.190.5.166:37103",true
"123.13.0.114:47489",true
"213.142.148.13",true
"123.12.198.82:43324",true
"k.212-q.ru",true
"wt.f05t.ru",true
"42.234.233.163:38215",true
"x0r.465-w.ru",true
"db.f05t.ru",true
"200.59.88.133:60894",true
"110.37.87.241:35468",true
"123.9.97.223:52295",true
"175.149.88.49:40270",true
"115.50.207.24:37961",true
"123.11.99.112:55828",true
"d1.465-w.ru",true
"bf.d42n.ru",true
"182.117.68.53:57338",true
"182.126.106.161:45748",true
"118.232.137.101:34102",true
"117.209.90.216:51856",true
"117.200.147.208:40876",true
"178.245.198.98:49647",true
"85.108.67.148:34352",true
"88.236.159.199:45439",true
"112.246.20.63:37833",true
"222.138.206.253:54131",true
"189.100.244.249:51955",true
"115.58.86.103:55647",true
"l.465-w.ru",true
"nn.d42n.ru",true
"61.53.74.169:50700",true
"39.74.36.82:41583",true
"39.82.83.34:41060",true
"125.45.57.80:38878",true
"cm0.759-s.ru",true
"fr.d42n.ru",true
"42.57.35.45:41373",true
"v5.759-s.ru",true
"rb.d42n.ru",true
"191.241.143.47:59275",true
"202.110.8.150:57986",true
"uz.d09r.ru",true
"219.154.33.34:33175",true
"115.62.62.93:47570",true
"160.250.134.51",true
"84.201.5.31",true
"176.46.152.89",true
"125.44.59.199:45676",true
"125.43.39.151:52220",true
"42.5.95.107:56250",true
"45.90.12.71",true
"valedaspecasdesmonte.com",true
"59.182.246.107:48960",true
"raw.githubusercontent.com",true
"h1.plaxe.sa.com",true
"wsbcard.s3.dualstack.us-east-1.amazonaws.com",true
"175.168.245.110:43421",true
"115.58.94.25:44953",true
"182.114.196.171:48682",true
"125.40.144.140:46512",true
"z.759-s.ru",true
"xu.d09r.ru",true
"va.d09r.ru",true
"k3x.246-b.ru",true
"182.121.108.106:44633",true
"213.242.21.95:62765",true
"163.5.63.150",true
"112.232.57.221:49463",true
"42.236.222.79:35808",true
"45.201.0.239",true
"61.52.156.140:52443",true
"zh.d09r.ru",true
"a1.246-b.ru",true
"175.165.85.100:52235",true
"27.215.49.211:44221",true
"202.83.163.47:46475",true
"115.48.149.90:56258",true
"123.10.230.221:56290",true
"42.176.199.195:50424",true
"r.246-b.ru",true
"b.4dl.icu",true
"67.214.245.59:57803",true
"125.45.65.102:38379",true
"42.225.229.191:44847",true
"182.113.37.237:35372",true
"x2j.2se.info",true
"182.113.215.151:59345",true
"182.127.100.64:35906",true
"pc.2se.info",true
"113.238.101.135:42827",true
"113.237.105.150:37207",true
"78.182.84.206:51070",true
"195.177.94.29:26154",true
"116.138.22.74:50273",true
"182.113.203.134:58269",true
"125.44.30.11:45587",true
"194.15.36.6",true
"95.12.14.213:48655",true
"182.127.36.22:35792",true
"117.217.42.41:59205",true
"39.82.100.191:41711",true
"m8.2se.info",true
"wq9.227-m.ru",true
"182.127.38.93:60564",true
"222.137.190.163:54866",true
"81.27.61.79:59758",true
"61.53.119.176:49329",true
"219.155.193.189:59073",true
"e.g0s1f.ru",true
"n.227-m.ru",true
"182.126.93.144:57032",true
"ak.g7r7s.ru",true
"xq8.340-k.ru",true
"182.121.14.143:49968",true
"b9c.340-k.ru",true
"ax.r3l1x.ru",true
"123.4.234.169:60899",true
"t.340-k.ru",true
"a.n5m4t.ru",true
"42.238.211.57:58640",true
"221.14.172.73:34305",true
"61.54.71.145:56830",true
"42.228.223.57:43854",true
"qz7.391-g.ru",true
"q.n9t6m.ru",true
"112.248.234.108:41329",true
"175.173.35.130:43923",true
"42.230.201.211:38329",true
"m2.391-g.ru",true
"xo.v-96-g.ru",true
"182.126.81.226:33700",true
"k.391-g.ru",true
"la.v-96-g.ru",true
"182.113.47.66:43042",true
"125.40.150.46:46498",true
"39.38.198.193:42462",true
"219.157.61.155:35170",true
"60.19.148.135:58849",true
"42.224.248.62:53735",true
"182.112.30.255:49337",true
"222.138.135.136:40394",true
"118.248.37.80:52800",true
"123.9.193.176:44666",true
"xq0.tbkh.ru",true
"nv.v-96-g.ru",true
"115.54.168.253:39136",true
"182.121.159.148:59878",true
"115.55.199.189:38523",true
"221.15.12.4:50084",true
"222.139.108.79:36852",true
"112.246.17.103:33239",true
"u5.tbkh.ru",true
"no.v-96-g.ru",true
"116.138.96.46:45285",true
"125.41.2.86:59820",true
"115.50.7.25:52356",true
"xd.t-65-p.ru",true
"119.117.121.63:35907",true
"42.86.53.216:45385",true
"122.233.238.6:53939",true
"115.61.120.135:56240",true
"d.tbkh.ru",true
"le.t-65-p.ru",true
"gb.t-65-p.ru",true
"115.56.156.255:50166",true
"113.239.121.68:34810",true
"60.23.232.110:47894",true
"42.224.27.233:37826",true
"61.53.84.43:53671",true
"115.49.67.192:56254",true
"42.238.255.245:46343",true
"vi.t-65-p.ru",true
"fck.wnkc.ru",true
"219.154.174.253:39984",true
"41.110.181.226:38072",true
"61.53.126.43:52231",true
"27.204.199.109:55545",true
"27.200.87.165:47561",true
"dodge2me.top",true
"123.12.244.193:37992",true
"42.225.206.31:51732",true
"185.196.10.247",true
"113.231.78.204:49994",true
"123.11.77.237:56024",true
"185.16.161.176:54976",true
"42.53.60.208:34480",true
"123.14.87.155:44756",true
"42.225.228.73:54943",true
"115.62.157.88:58306",true
